id,kind,parsed_dt,rrule,text,core
261,date-only,2025-06-26T00:00:00+00:00,,Reminder: call plumber 26/06/2025 for project X,26/06/2025
262,recurrence-only,,FREQ=DAILY;INTERVAL=4,Plan: pay electricity bill every 4 days #home,every 4 days
263,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Groceries: clean garage each fortnight on weekends (low),each fortnight on weekends
264,date-only,2025-12-30T00:00:00+00:00,,Task: 2025-12-30 clean garage with John,2025-12-30
265,recurrence-only,,FREQ=DAILY;INTERVAL=2,Follow up: book dentist every second day on weekends — asap,every second day on weekends
266,recurrence-only,,FREQ=MONTHLY,backup photos every month,every month
267,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Reminder: pay electricity bill every 4 weeks at Bunnings,every 4 weeks
268,date-only,2025-04-28T00:00:00+00:00,,Chore: 04/28/2025 wash car at Bunnings,04/28/2025
269,date-only,2026-07-21T00:00:00+00:00,,Chore: mow the lawn 21/07/2026,21/07/2026
270,recurrence-only,,FREQ=MONTHLY,Reminder: every month on the 1st review PR #home,every month on the 1st
271,date-only,2026-09-25T00:00:00+00:00,,book dentist 25/09/2026 — asap,25/09/2026
272,recurrence-only,,FREQ=MONTHLY,Chore: every month buy milk after work,every month
273,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Plan: call plumber every week on Monday,every week on Monday
274,recurrence-only,,FREQ=MONTHLY;INTERVAL=2,Bills: pay electricity bill every 2 months on weekends #home,every 2 months on weekends
275,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,Odd jobs: update spreadsheet every Saturday #home,every Saturday
276,recurrence-only,,FREQ=MONTHLY;INTERVAL=2,Odd jobs: mow the lawn every 2 months at Bunnings,every 2 months
277,recurrence-only,,FREQ=DAILY;INTERVAL=3,Plan: email client every 3 days at Bunnings,every 3 days
278,date-only,2025-10-24T00:00:00+00:00,,Plan: 2025-10-24 mow the lawn #work,2025-10-24
279,date-only,2025-10-12T00:00:00+00:00,,TODO: 12/10/2025 mow the lawn #home,12/10/2025
280,recurrence-only,,FREQ=DAILY;INTERVAL=2,Follow up: wash car every 2 days for project X,every 2 days
281,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Chore: buy milk every 2 weeks (evening),every 2 weeks
282,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,Follow up: every Sunday water the plants (evening),every Sunday
283,recurrence-only,,FREQ=YEARLY,Note: buy milk every year (low),every year
284,recurrence-only,,FREQ=DAILY,clean garage every day #work,every day
285,date-only,2026-02-15T00:00:00+00:00,,book dentist 15/02/2026,15/02/2026
286,date-only,2024-10-15T00:00:00+00:00,,2024-10-15 pay electricity bill #home,2024-10-15
287,recurrence-only,,FREQ=DAILY;INTERVAL=5,Chore: clean garage every 5 days at 9am with John,every 5 days at 9am
288,recurrence-only,,FREQ=YEARLY,Task: call plumber every year #work,every year
289,recurrence-only,,FREQ=DAILY;INTERVAL=2,Reminder: mow the lawn every second day,every second day
290,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Errands: update spreadsheet every Thursday,every Thursday
291,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Groceries: every 4 weeks backup photos for project X,every 4 weeks
292,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,mow the lawn every Sunday,every Sunday
293,date-only,2025-05-23T00:00:00+00:00,,Task: clean garage 05/23/2025 — asap,05/23/2025
294,date-only,2026-07-07T00:00:00+00:00,,clean garage 07/07/2026 for project X,07/07/2026
295,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,Next: every Saturday water the plants #work,every Saturday
296,date-only,2026-05-01T00:00:00+00:00,,Groceries: 01/05/2026 book dentist (evening),01/05/2026
297,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,Errands: update spreadsheet every Sunday #home,every Sunday
298,date-only,2025-01-25T00:00:00+00:00,,clean garage 01/25/2025 (low),01/25/2025
299,recurrence+date,2025-12-25T00:00:00+00:00,FREQ=YEARLY,Bills: every year on 25/12 update spreadsheet #work,every year on 25/12
300,recurrence-only,,FREQ=DAILY;INTERVAL=2,Errands: wash car every second day on weekdays — asap,every second day on weekdays
301,recurrence+date,2024-12-18T00:00:00+00:00,FREQ=DAILY;INTERVAL=2,Reminder: pay electricity bill every 2 days starting 12/18/2024,every 2 days starting 12/18/2024
302,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Next: every Monday at 5:30pm backup photos at Bunnings,every Monday at 5:30pm
303,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,Follow up: review PR every Saturday at 9am with John,every Saturday at 9am
304,recurrence+date,2025-08-31T00:00:00+00:00,FREQ=WEEKLY;INTERVAL=2,Errands: buy milk each fortnight starting 31/08/2025 (evening),each fortnight starting 31/08/2025
305,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,Odd jobs: every Sunday wash car (low),every Sunday
306,recurrence-only,,FREQ=WEEKLY;INTERVAL=3,Bills: every 3 weeks mow the lawn — before lunch,every 3 weeks
307,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,Note: every Wednesday book dentist with John,every Wednesday
308,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,Odd jobs: every Sunday clean garage for project X,every Sunday
309,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Reminder: every Monday clean garage (evening),every Monday
310,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,TODO: mow the lawn every 4 weeks (evening),every 4 weeks
311,recurrence-only,,FREQ=MONTHLY,Chore: pay electricity bill every month after work,every month
312,date-only,2026-04-19T00:00:00+00:00,,Bills: water the plants 19/04/2026 for project X,19/04/2026
313,date-only,2025-04-29T00:00:00+00:00,,Bills: email client 2025-04-29,2025-04-29
314,recurrence-only,,FREQ=WEEKLY;INTERVAL=3,Follow up: clean garage every 3 weeks (evening),every 3 weeks
315,recurrence-only,,FREQ=MONTHLY,Next: buy milk every month on the 1st,every month on the 1st
316,recurrence-only,,FREQ=DAILY;INTERVAL=5,Chore: every 5 days pay electricity bill after work,every 5 days
317,recurrence-only,,FREQ=WEEKLY;INTERVAL=3,Task: mow the lawn every 3 weeks,every 3 weeks
318,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Bills: every weekday at 5:30pm call plumber for project X,every weekday at 5:30pm
319,date-only,2026-03-02T00:00:00+00:00,,pay electricity bill 02/03/2026,02/03/2026
320,date-only,2026-01-25T00:00:00+00:00,,Reminder: 2026-01-25 review PR #home,2026-01-25
321,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Errands: mow the lawn every second week — asap,every second week
322,recurrence-only,,FREQ=YEARLY,Task: water the plants every year,every year
323,date-only,2026-08-01T00:00:00+00:00,,Reminder: call plumber 01/08/2026 (evening),01/08/2026
324,recurrence-only,,FREQ=DAILY;INTERVAL=2,Odd jobs: clean garage every second day (evening),every second day
325,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,Next: every quarter water the plants (low),every quarter
326,date-only,2025-01-10T00:00:00+00:00,,Plan: pay electricity bill 2025-01-10 (low),2025-01-10
327,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",every day on weekdays pay electricity bill,every day on weekdays
328,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Reminder: update spreadsheet every Thursday #home,every Thursday
329,date-only,2024-12-30T00:00:00+00:00,,Plan: backup photos 2024-12-30 — asap,2024-12-30
330,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Chore: wash car every Friday at 5:30pm for project X,every Friday at 5:30pm
331,date-only,2026-08-05T00:00:00+00:00,,Task: mow the lawn 05/08/2026 — before lunch,05/08/2026
332,recurrence-only,,FREQ=YEARLY,clean garage every year after work,every year
333,date-only,2024-12-10T00:00:00+00:00,,Errands: call plumber 10/12/2024 after work,10/12/2024
334,recurrence-only,,FREQ=DAILY;INTERVAL=5,Plan: every 5 days review PR,every 5 days
335,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,Follow up: every quarter book dentist #home,every quarter
336,recurrence-only,,FREQ=DAILY;INTERVAL=4,Bills: call plumber every 4 days after work,every 4 days
337,date-only,2026-05-01T00:00:00+00:00,,TODO: water the plants 2026-05-01,2026-05-01
338,recurrence-only,,FREQ=MONTHLY,update spreadsheet every month for project X,every month
339,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Groceries: every 4 weeks mow the lawn — before lunch,every 4 weeks
340,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,Reminder: every Sunday buy milk (low),every Sunday
341,date-only,2026-04-18T00:00:00+00:00,,18/04/2026 book dentist — before lunch,18/04/2026
342,recurrence-only,,FREQ=DAILY;INTERVAL=2,Reminder: water the plants every 2 days on weekends with John,every 2 days on weekends
343,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,Groceries: backup photos every Sunday for project X,every Sunday
344,recurrence-only,,FREQ=YEARLY,call plumber every year,every year
345,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Chore: backup photos every second week at 9am after work,every second week at 9am
346,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,Reminder: every Tuesday wash car after work,every Tuesday
347,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,mow the lawn every 4 weeks at 9am,every 4 weeks at 9am
348,date-only,2025-11-10T00:00:00+00:00,,2025-11-10 buy milk (low),2025-11-10
349,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,Plan: water the plants every Tuesday with John,every Tuesday
350,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,Task: water the plants every quarter,every quarter
351,date-only,2026-06-27T00:00:00+00:00,,27/06/2026 wash car for project X,27/06/2026
352,recurrence-only,,FREQ=DAILY,Bills: buy milk every day at 5:30pm after work,every day at 5:30pm
353,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Follow up: wash car every Friday at 5:30pm #home,every Friday at 5:30pm
354,date-only,2026-01-31T00:00:00+00:00,,Note: 2026-01-31 water the plants,2026-01-31
355,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Bills: every weekday wash car — asap,every weekday
356,date-only,2025-07-29T00:00:00+00:00,,Errands: 29/07/2025 pay electricity bill — before lunch,29/07/2025
357,date-only,2024-11-07T00:00:00+00:00,,Chore: 07/11/2024 water the plants at Bunnings,07/11/2024
358,recurrence-only,,FREQ=DAILY,Chore: every day at 5:30pm backup photos,every day at 5:30pm
359,recurrence-only,,FREQ=MONTHLY,Reminder: mow the lawn every month — before lunch,every month
360,recurrence+date,2025-12-25T00:00:00+00:00,FREQ=YEARLY,Task: every year on 25/12 at 9am mow the lawn (low),every year on 25/12 at 9am
361,recurrence-only,,FREQ=DAILY;INTERVAL=4,Plan: buy milk every 4 days — asap,every 4 days
362,recurrence-only,,FREQ=DAILY;INTERVAL=5,Groceries: wash car every 5 days #work,every 5 days
363,recurrence+date,2026-05-12T00:00:00+00:00,FREQ=WEEKLY;INTERVAL=2,each fortnight starting 12/05/2026 update spreadsheet (low),each fortnight starting 12/05/2026
364,date-only,2026-01-10T00:00:00+00:00,,Groceries: 2026-01-10 book dentist,2026-01-10
365,recurrence-only,,FREQ=DAILY;INTERVAL=2,Odd jobs: every second day update spreadsheet,every second day
366,date-only,2026-09-22T00:00:00+00:00,,Bills: email client 2026-09-22,2026-09-22
367,recurrence-only,,FREQ=WEEKLY;INTERVAL=3,mow the lawn every 3 weeks for project X,every 3 weeks
368,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Bills: call plumber every Friday (evening),every Friday
369,date-only,2026-07-01T00:00:00+00:00,,book dentist 01/07/2026 for project X,01/07/2026
370,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,buy milk every week on Monday,every week on Monday
371,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Groceries: every weekday at 5:30pm review PR for project X,every weekday at 5:30pm
372,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Task: every 2 weeks mow the lawn,every 2 weeks
373,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Odd jobs: clean garage every 4 weeks with John,every 4 weeks
374,date-only,2025-11-15T00:00:00+00:00,,Note: backup photos 15/11/2025 (low),15/11/2025
375,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Groceries: mow the lawn every Thursday at 9am — before lunch,every Thursday at 9am
376,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Groceries: every week on Monday book dentist for project X,every week on Monday
377,date-only,2025-11-19T00:00:00+00:00,,Errands: call plumber 19/11/2025 for project X,19/11/2025
378,date-only,2025-01-14T00:00:00+00:00,,Odd jobs: 14/01/2025 review PR after work,14/01/2025
379,date-only,2025-04-16T00:00:00+00:00,,Plan: 04/16/2025 email client,04/16/2025
380,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,Groceries: mow the lawn every Saturday #work,every Saturday
381,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,Bills: email client every Saturday (low),every Saturday
382,date-only,2025-01-27T00:00:00+00:00,,review PR 01/27/2025 (evening),01/27/2025
383,date-only,2025-11-09T00:00:00+00:00,,Plan: 09/11/2025 call plumber,09/11/2025
384,date-only,2025-08-27T00:00:00+00:00,,mow the lawn 08/27/2025,08/27/2025
385,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Errands: backup photos every month on the 1st on weekdays for project X,every month on the 1st on weekdays
386,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Groceries: pay electricity bill each fortnight — asap,each fortnight
387,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Reminder: buy milk every Thursday (evening),every Thursday
388,recurrence-only,,FREQ=MONTHLY;INTERVAL=2,Plan: every 2 months on weekends update spreadsheet — asap,every 2 months on weekends
389,date-only,2026-05-23T00:00:00+00:00,,Chore: clean garage 23/05/2026 #work,23/05/2026
390,recurrence-only,,FREQ=MONTHLY,TODO: review PR every month on the 1st after work,every month on the 1st
391,recurrence+date,2025-12-25T00:00:00+00:00,FREQ=YEARLY,every year on 25/12 update spreadsheet #work,every year on 25/12
392,date-only,2025-11-01T00:00:00+00:00,,call plumber 01/11/2025 #work,01/11/2025
393,recurrence-only,,FREQ=DAILY;INTERVAL=4,Odd jobs: every 4 days review PR,every 4 days
394,date-only,2026-09-12T00:00:00+00:00,,TODO: 12/09/2026 water the plants with John,12/09/2026
395,date-only,2024-09-26T00:00:00+00:00,,TODO: 09/26/2024 buy milk,09/26/2024
396,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,Errands: mow the lawn every Sunday — asap,every Sunday
397,date-only,2026-03-29T00:00:00+00:00,,Groceries: 29/03/2026 water the plants — before lunch,29/03/2026
398,date-only,2025-01-11T00:00:00+00:00,,Odd jobs: 11/01/2025 email client with John,11/01/2025
399,date-only,2024-10-17T00:00:00+00:00,,Chore: call plumber 17/10/2024 — before lunch,17/10/2024
400,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,Plan: book dentist every Tuesday #work,every Tuesday
401,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Plan: every Monday at 5:30pm book dentist — before lunch,every Monday at 5:30pm
402,recurrence-only,,FREQ=WEEKLY;INTERVAL=3,Errands: buy milk every 3 weeks — asap,every 3 weeks
403,recurrence-only,,FREQ=WEEKLY;INTERVAL=3,TODO: email client every 3 weeks — asap,every 3 weeks
404,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,every Wednesday buy milk #home,every Wednesday
405,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Bills: email client each fortnight on weekends (low),each fortnight on weekends
406,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Follow up: review PR every 2 weeks at Bunnings,every 2 weeks
407,date-only,2025-09-23T00:00:00+00:00,,review PR 09/23/2025 (low),09/23/2025
408,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Odd jobs: every Friday at 9am book dentist for project X,every Friday at 9am
409,date-only,2024-12-23T00:00:00+00:00,,TODO: 2024-12-23 call plumber,2024-12-23
410,recurrence-only,,FREQ=DAILY;INTERVAL=3,Plan: every 3 days on weekdays book dentist #work,every 3 days on weekdays
411,date-only,2025-05-07T00:00:00+00:00,,07/05/2025 review PR at Bunnings,07/05/2025
412,recurrence-only,,FREQ=MONTHLY,Next: every month backup photos,every month
413,recurrence+date,2025-06-24T00:00:00+00:00,FREQ=WEEKLY;BYDAY=SU,Plan: book dentist every Sunday starting 2025-06-24 with John,every Sunday starting 2025-06-24
414,recurrence-only,,FREQ=WEEKLY,Groceries: clean garage every weekend for project X,every weekend
415,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,Next: every Sunday on weekends clean garage,every Sunday on weekends
416,date-only,2025-12-13T00:00:00+00:00,,Plan: update spreadsheet 12/13/2025 #work,12/13/2025
417,date-only,2025-10-17T00:00:00+00:00,,2025-10-17 email client after work,2025-10-17
418,date-only,2026-01-05T00:00:00+00:00,,Next: update spreadsheet 05/01/2026 — before lunch,05/01/2026
419,date-only,2026-01-25T00:00:00+00:00,,Next: book dentist 01/25/2026 at Bunnings,01/25/2026
420,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,Plan: every Tuesday wash car,every Tuesday
421,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Plan: water the plants every 2 weeks (evening),every 2 weeks
422,recurrence-only,,FREQ=DAILY;INTERVAL=2,Groceries: every second day wash car,every second day
423,recurrence+date,2025-08-07T00:00:00+00:00,FREQ=YEARLY,Task: every year starting 07/08/2025 pay electricity bill at Bunnings,every year starting 07/08/2025
424,date-only,2025-01-16T00:00:00+00:00,,Plan: backup photos 01/16/2025,01/16/2025
425,date-only,2024-12-26T00:00:00+00:00,,book dentist 2024-12-26,2024-12-26
426,date-only,2025-08-22T00:00:00+00:00,,Task: water the plants 08/22/2025,08/22/2025
427,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Bills: every Thursday on weekdays book dentist,every Thursday on weekdays
428,date-only,2026-03-07T00:00:00+00:00,,Next: update spreadsheet 2026-03-07 after work,2026-03-07
429,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,every quarter wash car at Bunnings,every quarter
430,recurrence-only,,FREQ=MONTHLY,TODO: every month at 9am wash car #home,every month at 9am
431,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,every Monday call plumber #work,every Monday
432,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,update spreadsheet every second week after work,every second week
433,date-only,2026-04-06T00:00:00+00:00,,buy milk 06/04/2026 for project X,06/04/2026
434,recurrence+date,2025-05-19T00:00:00+00:00,FREQ=DAILY;INTERVAL=3,every 3 days starting 05/19/2025 backup photos — asap,every 3 days starting 05/19/2025
435,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Note: review PR every Thursday for project X,every Thursday
436,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,TODO: every week on Monday pay electricity bill (low),every week on Monday
437,date-only,2026-02-02T00:00:00+00:00,,review PR 02/02/2026,02/02/2026
438,date-only,2025-02-07T00:00:00+00:00,,Follow up: 2025-02-07 backup photos after work,2025-02-07
439,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,backup photos every Saturday at 5:30pm #work,every Saturday at 5:30pm
440,recurrence+date,2026-02-16T00:00:00+00:00,FREQ=WEEKLY;BYDAY=SU,Follow up: mow the lawn every Sunday starting 2026-02-16 after work,every Sunday starting 2026-02-16
441,date-only,2025-02-16T00:00:00+00:00,,Errands: 2025-02-16 mow the lawn,2025-02-16
442,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,Note: every Tuesday update spreadsheet,every Tuesday
443,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,Plan: book dentist every Wednesday with John,every Wednesday
444,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Plan: clean garage every 2 weeks at 9am after work,every 2 weeks at 9am
445,recurrence+date,2024-11-27T00:00:00+00:00,FREQ=WEEKLY;INTERVAL=3,Plan: every 3 weeks starting 2024-11-27 mow the lawn,every 3 weeks starting 2024-11-27
446,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",book dentist every Wednesday on weekdays with John,every Wednesday on weekdays
447,recurrence+date,2024-12-12T00:00:00+00:00,FREQ=DAILY;INTERVAL=5,TODO: backup photos every 5 days starting 12/12/2024 #work,every 5 days starting 12/12/2024
448,recurrence-only,,FREQ=WEEKLY,Next: every weekend review PR with John,every weekend
449,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Note: review PR each fortnight — before lunch,each fortnight
450,recurrence-only,,FREQ=DAILY;INTERVAL=2,Plan: mow the lawn every 2 days,every 2 days
451,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,Next: wash car every quarter (evening),every quarter
452,recurrence-only,,FREQ=DAILY;INTERVAL=3,Plan: update spreadsheet every 3 days with John,every 3 days
453,recurrence-only,,FREQ=DAILY,Reminder: pay electricity bill every day — asap,every day
454,date-only,2025-12-07T00:00:00+00:00,,Follow up: 07/12/2025 water the plants with John,07/12/2025
455,date-only,2025-12-19T00:00:00+00:00,,Plan: wash car 19/12/2025 #work,19/12/2025
456,date-only,2026-03-01T00:00:00+00:00,,Groceries: mow the lawn 01/03/2026 — before lunch,01/03/2026
457,recurrence+date,2026-02-14T00:00:00+00:00,FREQ=WEEKLY;BYDAY=SA,Chore: wash car every Saturday starting 02/14/2026,every Saturday starting 02/14/2026
458,recurrence-only,,FREQ=DAILY;INTERVAL=2,call plumber every 2 days — asap,every 2 days
459,date-only,2026-07-23T00:00:00+00:00,,Follow up: 07/23/2026 book dentist,07/23/2026
460,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Task: buy milk every Friday at 5:30pm (low),every Friday at 5:30pm
461,recurrence-only,,FREQ=MONTHLY,Bills: every month book dentist — before lunch,every month
462,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,pay electricity bill every 4 weeks at 9am,every 4 weeks at 9am
463,date-only,2025-12-03T00:00:00+00:00,,Task: book dentist 03/12/2025 #home,03/12/2025
464,recurrence+date,2025-12-25T00:00:00+00:00,FREQ=YEARLY,Bills: every year on 25/12 water the plants (low),every year on 25/12
465,date-only,2025-06-30T00:00:00+00:00,,Chore: 06/30/2025 update spreadsheet,06/30/2025
466,date-only,2026-08-23T00:00:00+00:00,,TODO: mow the lawn 08/23/2026 #work,08/23/2026
467,date-only,2025-12-29T00:00:00+00:00,,Odd jobs: review PR 2025-12-29 after work,2025-12-29
468,recurrence-only,,FREQ=WEEKLY;INTERVAL=3,every 3 weeks wash car,every 3 weeks
469,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,call plumber every 4 weeks,every 4 weeks
470,recurrence-only,,FREQ=YEARLY,Task: buy milk every year on weekends,every year on weekends
471,date-only,2026-02-23T00:00:00+00:00,,Note: mow the lawn 2026-02-23 after work,2026-02-23
472,recurrence-only,,FREQ=DAILY;INTERVAL=4,TODO: call plumber every 4 days on weekdays with John,every 4 days on weekdays
473,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Note: every Friday update spreadsheet with John,every Friday
474,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Task: call plumber every second week for project X,every second week
475,recurrence-only,,FREQ=DAILY;INTERVAL=2,Task: every 2 days on weekends email client after work,every 2 days on weekends
476,recurrence+date,2025-09-30T00:00:00+00:00,FREQ=WEEKLY;BYDAY=SA,Next: pay electricity bill every Saturday starting 2025-09-30,every Saturday starting 2025-09-30
477,recurrence-only,,FREQ=DAILY;INTERVAL=5,Bills: every 5 days book dentist,every 5 days
478,date-only,2026-08-16T00:00:00+00:00,,Odd jobs: pay electricity bill 08/16/2026 with John,08/16/2026
479,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Next: every 4 weeks review PR (low),every 4 weeks
480,date-only,2025-01-25T00:00:00+00:00,,TODO: 01/25/2025 mow the lawn at Bunnings,01/25/2025
481,date-only,2026-08-13T00:00:00+00:00,,TODO: pay electricity bill 2026-08-13 — before lunch,2026-08-13
482,date-only,2025-11-28T00:00:00+00:00,,Plan: 28/11/2025 book dentist #work,28/11/2025
483,date-only,2025-04-15T00:00:00+00:00,,Errands: buy milk 15/04/2025 with John,15/04/2025
484,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,TODO: review PR every week on Monday (low),every week on Monday
485,date-only,2025-03-16T00:00:00+00:00,,Note: 2025-03-16 pay electricity bill (evening),2025-03-16
486,recurrence-only,,FREQ=YEARLY,call plumber every year for project X,every year
487,date-only,2026-02-20T00:00:00+00:00,,Odd jobs: mow the lawn 02/20/2026 after work,02/20/2026
488,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,TODO: call plumber every quarter on weekends — asap,every quarter on weekends
489,date-only,2025-09-05T00:00:00+00:00,,email client 05/09/2025,05/09/2025
490,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,wash car every Saturday,every Saturday
491,date-only,2026-09-24T00:00:00+00:00,,Next: clean garage 09/24/2026 — before lunch,09/24/2026
492,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,wash car every quarter,every quarter
493,date-only,2025-12-05T00:00:00+00:00,,Next: backup photos 05/12/2025 #home,05/12/2025
494,recurrence-only,,FREQ=DAILY,Errands: every day review PR,every day
495,recurrence-only,,FREQ=DAILY;INTERVAL=4,Next: every 4 days water the plants — asap,every 4 days
496,date-only,2025-04-19T00:00:00+00:00,,Chore: 04/19/2025 update spreadsheet,04/19/2025
497,date-only,2024-11-18T00:00:00+00:00,,Odd jobs: pay electricity bill 18/11/2024 for project X,18/11/2024
498,recurrence-only,,FREQ=MONTHLY,pay electricity bill every month on the 1st at Bunnings,every month on the 1st
499,recurrence+date,2026-09-20T00:00:00+00:00,FREQ=DAILY;INTERVAL=5,Reminder: every 5 days starting 20/09/2026 call plumber,every 5 days starting 20/09/2026
500,recurrence-only,,FREQ=DAILY;INTERVAL=2,Groceries: buy milk every second day,every second day
501,date-only,2025-05-29T00:00:00+00:00,,Plan: mow the lawn 05/29/2025 — asap,05/29/2025
502,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,pay electricity bill every quarter (low),every quarter
503,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Plan: update spreadsheet every 4 weeks — asap,every 4 weeks
504,date-only,2026-08-03T00:00:00+00:00,,Odd jobs: review PR 2026-08-03 (evening),2026-08-03
505,recurrence+date,2026-02-28T00:00:00+00:00,FREQ=MONTHLY;INTERVAL=3,every quarter starting 28/02/2026 book dentist with John,every quarter starting 28/02/2026
506,recurrence+date,2026-05-18T00:00:00+00:00,FREQ=WEEKLY;INTERVAL=2,Groceries: email client every 2 weeks starting 05/18/2026,every 2 weeks starting 05/18/2026
507,recurrence+date,2025-12-25T00:00:00+00:00,FREQ=YEARLY,Reminder: book dentist every year on 25/12 with John,every year on 25/12
508,date-only,2025-12-15T00:00:00+00:00,,Task: email client 2025-12-15,2025-12-15
509,date-only,2025-08-07T00:00:00+00:00,,TODO: 07/08/2025 pay electricity bill with John,07/08/2025
510,recurrence-only,,FREQ=YEARLY,Note: pay electricity bill every year at 5:30pm (low),every year at 5:30pm
511,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Note: wash car every week on Monday,every week on Monday
512,recurrence-only,,FREQ=WEEKLY,Odd jobs: buy milk every weekend #home,every weekend
513,recurrence-only,,FREQ=YEARLY,Reminder: every year clean garage (low),every year
514,date-only,2026-01-29T00:00:00+00:00,,01/29/2026 email client #work,01/29/2026
515,date-only,2025-02-14T00:00:00+00:00,,Follow up: 2025-02-14 water the plants #work,2025-02-14
516,date-only,2025-03-14T00:00:00+00:00,,Follow up: backup photos 2025-03-14 — before lunch,2025-03-14
517,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Bills: email client every 4 weeks at 5:30pm with John,every 4 weeks at 5:30pm
